table_id,Facility,Unit_or_Service,Intervention_Name,Metric_Name,Metric_Definition,Submetric,Baseline_Value,Baseline_Period,Post_Value,Post_Period,Delta_Value,Delta_Percent,Target_Goal,Status_Flag,Sample_Size_Baseline,Sample_Size_Post,Cost_Savings_Estimate,Staff_Hours_Saved,Patient_Safety_Impact,Satisfaction_Score_Impact,Notes,Last_Updated
Inpatient_LOS,Community Campus,OR,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-OR,6.91,2024-07 to 2024-12,9.868247772,2025-01 to 2025-06,2.96,42.81,5.54,Red,497,732,44690.66,277,High,8,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ICU,Triage automation,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-ICU,10.88,2024-07 to 2024-12,9.962822442,2025-01 to 2025-06,-0.92,-8.43,9.02,Yellow,147,206,27029.22,150,Moderate,2,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Lean turnover project,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Radiology,12.53,2024-07 to 2024-12,14.13461517,2025-01 to 2025-06,1.6,12.81,11.29,Yellow,615,357,26460.75,499,Moderate,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ICU,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,4.66,2024-07 to 2024-12,5.075121943,2025-01 to 2025-06,0.42,8.91,4.36,Yellow,344,817,40807.06,446,Low,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ICU,Workflow redesign,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-ICU,9.85,2024-07 to 2024-12,12.28278257,2025-01 to 2025-06,2.43,24.7,7.99,Red,929,360,41294.18,65,Moderate,9,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Radiology,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-Radiology,14.87,2024-07 to 2024-12,16.4562983,2025-01 to 2025-06,1.59,10.67,13.5,Yellow,801,833,43705.53,45,Low,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Triage automation,Throughput,Number of patients processed per day,Throughput-OR,13.64,2024-07 to 2024-12,13.6551137,2025-01 to 2025-06,0.02,0.11,12.1,Yellow,756,443,20368.06,266,High,9,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Radiology,Cycle time optimization,LOS,Length of stay in days,LOS-Radiology,11.1,2024-07 to 2024-12,7.745414124,2025-01 to 2025-06,-3.35,-30.22,9.15,Green,706,732,10426.72,311,Low,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-OR,12.26,2024-07 to 2024-12,9.60729416,2025-01 to 2025-06,-2.65,-21.64,10.1,Green,116,236,40439.46,119,Low,10,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Radiology,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,5.08,2024-07 to 2024-12,0.434812506,2025-01 to 2025-06,-4.65,-91.44,4.53,Green,809,889,32680.76,347,Moderate,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ED,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ED,5.96,2024-07 to 2024-12,1.263220646,2025-01 to 2025-06,-4.7,-78.81,4.99,Green,168,505,1547.18,93,Moderate,7,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ED,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-ED,5.15,2024-07 to 2024-12,6.998361402,2025-01 to 2025-06,1.85,35.89,4.47,Yellow,421,974,23957.2,211,Low,4,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,OR,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,15.12,2024-07 to 2024-12,18.34343792,2025-01 to 2025-06,3.22,21.32,12.32,Red,572,849,30811.12,160,Low,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Med-Surg,Cycle time optimization,LOS,Length of stay in days,LOS-Med-Surg,18.71,2024-07 to 2024-12,23.59029634,2025-01 to 2025-06,4.88,26.08,17.42,Red,205,885,38198.43,392,High,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-Ambulatory,15.02,2024-07 to 2024-12,17.40516621,2025-01 to 2025-06,2.39,15.88,12.47,Red,326,549,27474.03,454,High,4,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ICU,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-ICU,18.62,2024-07 to 2024-12,15.26395547,2025-01 to 2025-06,-3.36,-18.02,17.58,Green,940,859,14677.33,145,Moderate,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ICU,4.69,2024-07 to 2024-12,6.200644201,2025-01 to 2025-06,1.51,32.21,4.13,Yellow,548,293,35699.92,405,Moderate,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Ambulatory,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,8.27,2024-07 to 2024-12,8.202372507,2025-01 to 2025-06,-0.07,-0.82,6.93,Yellow,271,705,40806.61,317,Low,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ICU,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-ICU,11.5,2024-07 to 2024-12,15.51151366,2025-01 to 2025-06,4.01,34.88,9.64,Red,581,647,32571.11,421,High,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Med-Surg,13.46,2024-07 to 2024-12,14.50912524,2025-01 to 2025-06,1.05,7.79,11.54,Yellow,837,361,36161.55,26,High,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Workflow redesign,Throughput,Number of patients processed per day,Throughput-ED,12.86,2024-07 to 2024-12,16.58829266,2025-01 to 2025-06,3.73,28.99,11.81,Red,881,135,39801.34,225,High,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ICU,6.39,2024-07 to 2024-12,5.000986654,2025-01 to 2025-06,-1.39,-21.74,5.76,Green,824,756,36232.94,382,Low,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-OR,10.89,2024-07 to 2024-12,9.130723009,2025-01 to 2025-06,-1.76,-16.15,9.77,Green,677,149,25122.86,65,Moderate,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Med-Surg,8.84,2024-07 to 2024-12,6.398037546,2025-01 to 2025-06,-2.44,-27.62,8.08,Green,182,779,24663.22,461,High,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Radiology,Lean turnover project,Throughput,Number of patients processed per day,Throughput-Radiology,14.94,2024-07 to 2024-12,18.98837224,2025-01 to 2025-06,4.05,27.1,13.71,Red,821,363,22805.93,429,High,4,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ICU,11.49,2024-07 to 2024-12,9.016737048,2025-01 to 2025-06,-2.47,-21.53,10.83,Green,670,416,25817.49,158,High,3,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-OR,16.67,2024-07 to 2024-12,15.05101434,2025-01 to 2025-06,-1.62,-9.71,13.55,Yellow,601,977,8169.79,269,Moderate,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ICU,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-ICU,8.8,2024-07 to 2024-12,10.99503816,2025-01 to 2025-06,2.2,24.94,7.32,Red,162,266,46468.45,157,High,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Triage automation,Throughput,Number of patients processed per day,Throughput-ICU,7.59,2024-07 to 2024-12,2.622957757,2025-01 to 2025-06,-4.97,-65.44,6.89,Green,111,700,32795.54,184,Moderate,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Radiology,Lean turnover project,Throughput,Number of patients processed per day,Throughput-Radiology,2.89,2024-07 to 2024-12,5.958194845,2025-01 to 2025-06,3.07,106.17,2.41,Red,142,957,6345.79,199,High,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Radiology,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-Radiology,5.33,2024-07 to 2024-12,1.055097925,2025-01 to 2025-06,-4.27,-80.2,4.28,Green,538,203,10245.97,217,Low,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Radiology,18.75,2024-07 to 2024-12,18.86247276,2025-01 to 2025-06,0.11,0.6,17.37,Yellow,344,220,49051.61,188,Low,9,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,2.68,2024-07 to 2024-12,0.996687634,2025-01 to 2025-06,-1.68,-62.81,2.24,Green,707,621,33011.5,221,Low,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Ambulatory,7.91,2024-07 to 2024-12,11.11336182,2025-01 to 2025-06,3.2,40.5,6.4,Red,722,406,7201.77,138,Moderate,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Lean turnover project,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Ambulatory,5.87,2024-07 to 2024-12,4.133892349,2025-01 to 2025-06,-1.74,-29.58,4.71,Green,716,462,44273.72,239,Low,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,3.08,2024-07 to 2024-12,8.036836627,2025-01 to 2025-06,4.96,160.94,2.82,Red,378,357,10887.27,95,Moderate,10,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Med-Surg,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Med-Surg,2.97,2024-07 to 2024-12,1.88491705,2025-01 to 2025-06,-1.09,-36.53,2.66,Green,531,332,15011.41,191,Moderate,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Lean turnover project,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,4.78,2024-07 to 2024-12,4.612137052,2025-01 to 2025-06,-0.17,-3.51,3.99,Yellow,571,550,14005.46,43,Low,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,OR,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-OR,19.8,2024-07 to 2024-12,19.89634396,2025-01 to 2025-06,0.1,0.49,16.66,Red,639,311,38403.19,138,Moderate,7,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-ED,7.03,2024-07 to 2024-12,10.11288458,2025-01 to 2025-06,3.08,43.85,6,Red,426,373,8041.97,258,Moderate,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-ED,15.31,2024-07 to 2024-12,20.17277029,2025-01 to 2025-06,4.86,31.76,12.45,Red,583,349,5742.21,410,Moderate,2,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ICU,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,3.1,2024-07 to 2024-12,5.52753743,2025-01 to 2025-06,2.43,78.31,2.56,Yellow,363,888,10595.19,470,Low,9,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ICU,Workflow redesign,LOS,Length of stay in days,LOS-ICU,12.53,2024-07 to 2024-12,13.71224798,2025-01 to 2025-06,1.18,9.44,11.13,Yellow,670,135,32803.42,306,Moderate,8,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-OR,12.97,2024-07 to 2024-12,15.03423981,2025-01 to 2025-06,2.06,15.92,12.03,Red,606,834,31279.03,153,Low,3,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-OR,12.87,2024-07 to 2024-12,14.89733756,2025-01 to 2025-06,2.03,15.75,11.04,Red,148,1000,30913.17,251,Moderate,5,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-OR,6.24,2024-07 to 2024-12,1.286575972,2025-01 to 2025-06,-4.95,-79.38,5.02,Green,371,769,45618.54,500,Moderate,8,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,7.29,2024-07 to 2024-12,10.11085445,2025-01 to 2025-06,2.82,38.69,6.34,Red,757,875,28145.14,295,High,9,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Workflow redesign,LOS,Length of stay in days,LOS-Radiology,5.22,2024-07 to 2024-12,3.439636839,2025-01 to 2025-06,-1.78,-34.11,4.18,Green,439,918,1080.66,41,Low,3,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,5.65,2024-07 to 2024-12,3.807172644,2025-01 to 2025-06,-1.84,-32.62,4.73,Green,204,937,6421.45,403,Moderate,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Triage automation,Wait Time,Average wait time before service,Wait Time-ICU,13.97,2024-07 to 2024-12,16.83709633,2025-01 to 2025-06,2.87,20.52,12.78,Red,731,769,31946.26,426,Low,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ED,2.92,2024-07 to 2024-12,6.236603698,2025-01 to 2025-06,3.32,113.58,2.35,Red,823,702,46268.82,58,High,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,OR,Lean turnover project,Wait Time,Average wait time before service,Wait Time-OR,3.08,2024-07 to 2024-12,6.202890425,2025-01 to 2025-06,3.12,101.39,2.86,Red,672,796,27372.83,314,Moderate,6,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ICU,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,18.14,2024-07 to 2024-12,15.99797099,2025-01 to 2025-06,-2.14,-11.81,16.64,Green,505,599,4047.94,420,High,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Cycle time optimization,LOS,Length of stay in days,LOS-Med-Surg,8.6,2024-07 to 2024-12,10.75475733,2025-01 to 2025-06,2.15,25.06,7.18,Red,167,846,31495.93,105,Low,7,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,OR,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-OR,7.67,2024-07 to 2024-12,7.193662156,2025-01 to 2025-06,-0.48,-6.21,6.98,Yellow,209,504,36183.63,478,Moderate,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-OR,4.1,2024-07 to 2024-12,0.218179797,2025-01 to 2025-06,-3.88,-94.68,3.72,Green,378,615,39595.25,10,Moderate,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Radiology,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,3.67,2024-07 to 2024-12,0.886498738,2025-01 to 2025-06,-2.78,-75.84,3.26,Green,991,355,14687.93,263,Low,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Med-Surg,Lean turnover project,Wait Time,Average wait time before service,Wait Time-Med-Surg,17.81,2024-07 to 2024-12,15.90330874,2025-01 to 2025-06,-1.91,-10.71,15.87,Yellow,192,412,28202.3,123,Low,1,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Lean turnover project,Turnover Time,OR room turnover time in minutes,Turnover Time-Radiology,11.69,2024-07 to 2024-12,12.14496407,2025-01 to 2025-06,0.45,3.89,10.95,Yellow,601,423,39354.44,265,Moderate,8,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Med-Surg,Triage automation,Wait Time,Average wait time before service,Wait Time-Med-Surg,10.17,2024-07 to 2024-12,7.824257962,2025-01 to 2025-06,-2.35,-23.07,9.51,Green,779,339,19562.19,260,Low,10,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Med-Surg,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,3.52,2024-07 to 2024-12,1.465221233,2025-01 to 2025-06,-2.05,-58.37,3.33,Green,534,653,11005.99,148,Moderate,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ED,5.41,2024-07 to 2024-12,1.801645086,2025-01 to 2025-06,-3.61,-66.7,5.11,Green,133,277,43465.49,142,Low,4,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Workflow redesign,LOS,Length of stay in days,LOS-Radiology,9.2,2024-07 to 2024-12,6.433077749,2025-01 to 2025-06,-2.77,-30.08,8.68,Green,489,527,38719.72,195,Moderate,4,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Cycle time optimization,LOS,Length of stay in days,LOS-Radiology,4.63,2024-07 to 2024-12,0.206513373,2025-01 to 2025-06,-4.42,-95.54,4.12,Green,920,866,36771.02,192,Moderate,4,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ED,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-ED,5.38,2024-07 to 2024-12,1.839062383,2025-01 to 2025-06,-3.54,-65.82,4.77,Green,130,819,12906.56,244,Low,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Ambulatory,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,13.05,2024-07 to 2024-12,11.99099298,2025-01 to 2025-06,-1.06,-8.11,11.25,Yellow,866,604,30935.06,455,High,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ED,Workflow redesign,Throughput,Number of patients processed per day,Throughput-ED,7.84,2024-07 to 2024-12,4.512300398,2025-01 to 2025-06,-3.33,-42.45,6.36,Green,677,615,7422.61,305,High,5,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Triage automation,Turnover Time,OR room turnover time in minutes,Turnover Time-ED,9.12,2024-07 to 2024-12,4.236756953,2025-01 to 2025-06,-4.88,-53.54,8.64,Green,829,497,23355.23,131,Moderate,4,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ICU,Lean turnover project,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ICU,7.53,2024-07 to 2024-12,4.581889057,2025-01 to 2025-06,-2.95,-39.15,6.64,Green,485,989,30829.29,427,High,6,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ED,Triage automation,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-ED,4.59,2024-07 to 2024-12,3.861235558,2025-01 to 2025-06,-0.73,-15.88,3.92,Green,635,367,37753.41,73,High,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Lean turnover project,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Radiology,13.97,2024-07 to 2024-12,10.199001,2025-01 to 2025-06,-3.77,-26.99,12.36,Green,268,575,25741.11,264,Low,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Lean turnover project,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,16.3,2024-07 to 2024-12,19.97025344,2025-01 to 2025-06,3.67,22.52,14.64,Red,816,344,9777.25,90,Moderate,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ICU,Lean turnover project,LOS,Length of stay in days,LOS-ICU,4.15,2024-07 to 2024-12,3.826978171,2025-01 to 2025-06,-0.32,-7.78,3.69,Yellow,325,756,3975.63,98,High,6,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Radiology,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,13.58,2024-07 to 2024-12,9.735604429,2025-01 to 2025-06,-3.84,-28.31,11.75,Green,169,389,36664.88,55,Moderate,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ED,10.25,2024-07 to 2024-12,14.90902858,2025-01 to 2025-06,4.66,45.45,8.59,Red,611,895,49485.03,286,Moderate,10,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,11.25,2024-07 to 2024-12,6.735150439,2025-01 to 2025-06,-4.51,-40.13,9.97,Green,494,433,41004.55,194,Moderate,8,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ICU,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ICU,17.46,2024-07 to 2024-12,16.63547904,2025-01 to 2025-06,-0.82,-4.72,15.29,Yellow,297,910,39726,425,High,4,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ED,Workflow redesign,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-ED,2.66,2024-07 to 2024-12,4.898549299,2025-01 to 2025-06,2.24,84.16,2.19,Yellow,556,452,35945.42,435,High,2,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Ambulatory,16.44,2024-07 to 2024-12,18.62766983,2025-01 to 2025-06,2.19,13.31,14.04,Red,468,645,43045.43,43,Moderate,5,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ICU,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-ICU,11.04,2024-07 to 2024-12,12.3885077,2025-01 to 2025-06,1.35,12.21,10.24,Yellow,818,779,42938.2,446,Moderate,7,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Med-Surg,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Med-Surg,17.92,2024-07 to 2024-12,18.11469565,2025-01 to 2025-06,0.19,1.09,15.59,Yellow,723,673,12169.13,97,Moderate,5,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Ambulatory,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Ambulatory,8.83,2024-07 to 2024-12,5.567195294,2025-01 to 2025-06,-3.26,-36.95,7.22,Green,814,152,36524.21,164,High,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Triage automation,Wait Time,Average wait time before service,Wait Time-OR,18.01,2024-07 to 2024-12,13.23508178,2025-01 to 2025-06,-4.77,-26.51,15.23,Green,793,428,46520.66,143,Moderate,2,Monitored for trend post intervention.,8/19/2025
