table_id,Incident_ID,Date_Reported,Reported_By,Department,Regulatory_Domain,Incident_Type,Severity_Level+H1:R5,Description,Root_Cause,Immediate_Action_Taken,Corrective_Action_Required,Responsible_Owner,Due_Date,Resolution_Status,Resolution_Date,Audit_Reference,External_Reporting_Required,External_Report_Date,Financial_Impact,Patient_Impact,Patient_Notification_Status,Recurring_Incident_Flag,Review_Committee_Notes,Follow_Up_Audit_Scheduled,Last_Updated
Incidents_2025_H1,RCIT-2025-0011,6/6/2025,Compliance Officer,Radiology,Title VI,Safety lapse,Low,Incident related to EMTALA in Med-Surg,Documentation error,Technical fix,Policy updated,Compliance Officer,7/14/2025,Closed,8/3/2025,POL-918,Yes,,12743.97,No,Pending,No,,1/10/2026,2025-08-18T21:30:25.422829
Incidents_2025_H1,RCIT-2025-0012,5/20/2025,Compliance Officer,Finance,EMTALA,Privacy issue,Low,Incident related to Joint Commission in Finance,Documentation error,Staff retraining,Staff retraining,Risk Manager,7/26/2025,Open,,POL-831,No,,0,No,Completed,Yes,Reviewed in committee meeting.,1/22/2026,2025-08-18T21:30:25.422850
Incidents_2025_H1,RCIT-2025-0013,4/12/2025,Admin Staff,Finance,EMTALA,Data breach,Low,Incident related to OSHA in ICU,Documentation error,Technical fix,Technical fix,Dept Head,5/10/2025,Closed,6/8/2025,POL-234,Yes,5/15/2025,21586.9,Yes,Pending,No,Reviewed in committee meeting.,11/6/2025,2025-08-18T21:30:25.422876
Incidents_2025_H1,RCIT-2025-0014,2/1/2025,Compliance Officer,Administration,HIPAA,EMTALA violation,Moderate,Incident related to EMTALA in ICU,Documentation error,Technical fix,Immediate mitigation,Legal Counsel,2/27/2025,Closed,3/23/2025,POL-807,No,,0,Yes,Pending,No,,8/26/2025,2025-08-18T21:30:25.422899
Incidents_2025_H1,RCIT-2025-0015,1/2/2025,Compliance Officer,Med-Surg,Joint Commission,Billing error,High,Incident related to CMS in ICU,Staff non-adherence,Staff retraining,Staff retraining,Dept Head,2/17/2025,Closed,3/13/2025,POL-625,No,,0,Yes,Pending,No,Reviewed in committee meeting.,8/16/2025,2025-08-18T21:30:25.422921
Incidents_2025_H1,RCIT-2025-0016,1/5/2025,Admin Staff,Radiology,OSHA,Privacy issue,High,Incident related to OSHA in ICU,Staff non-adherence,Staff retraining,Policy updated,Risk Manager,3/5/2025,Open,,POL-543,Yes,,0,No,Pending,Yes,,9/1/2025,2025-08-18T21:30:25.422943
Incidents_2025_H1,RCIT-2025-0017,6/30/2025,Admin Staff,ED,Joint Commission,Safety lapse,Moderate,,System failure,Immediate mitigation,Technical fix,Dept Head,9/20/2025,Escalated,10/3/2025,POL-923,Yes,9/25/2025,98376.77,Yes,Not Needed,No,,3/19/2026,2025-08-18T21:30:25.422969
Incidents_2025_H1,RCIT-2025-0018,6/28/2025,Nurse,Radiology,Joint Commission,EMTALA violation,Low,Incident related to CMS in Administration,Documentation error,Staff retraining,Policy updated,Compliance Officer,9/2/2025,In-Progress,,POL-416,No,,22857.24,Yes,Not Needed,No,Reviewed in committee meeting.,3/1/2026,2025-08-18T21:30:25.422991
Incidents_2025_H1,RCIT-2025-0019,3/20/2025,Compliance Officer,Med-Surg,HIPAA,EMTALA violation,High,Incident related to CMS in Med-Surg,Training gap,Policy updated,Technical fix,Compliance Officer,5/5/2025,Closed,6/2/2025,POL-616,Yes,,0,No,Pending,Yes,Reviewed in committee meeting.,11/1/2025,2025-08-18T21:30:25.423013
Incidents_2025_H1,RCIT-2025-0020,4/15/2025,Compliance Officer,Med-Surg,HIPAA,Privacy issue,High,Incident related to OSHA in Radiology,Documentation error,Policy updated,Technical fix,Legal Counsel,6/16/2025,In-Progress,,POL-113,Yes,,39135.71,Yes,Not Needed,No,,12/13/2025,2025-08-18T21:30:25.423034
Incidents_2025_H1,RCIT-2025-0021,1/15/2025,Admin Staff,Radiology,CMS,Privacy issue,Critical,Incident related to Title VI in ED,Staff non-adherence,Technical fix,Policy updated,Compliance Officer,3/25/2025,Closed,4/23/2025,POL-657,Yes,,49550.54,No,Completed,Yes,Reviewed in committee meeting.,9/21/2025,2025-08-18T21:30:25.423068
Incidents_2025_H1,RCIT-2025-0022,2/8/2025,Compliance Officer,ICU,CMS,EMTALA violation,Low,Incident related to Title VI in Radiology,Training gap,Staff retraining,Policy updated,Legal Counsel,3/12/2025,In-Progress,,POL-273,Yes,,14156.83,Yes,Pending,No,,9/8/2025,2025-08-18T21:30:25.423091
Incidents_2025_H1,RCIT-2025-0023,3/1/2025,Admin Staff,Administration,HIPAA,Safety lapse,Moderate,Incident related to CMS in Finance,Training gap,Immediate mitigation,Technical fix,Risk Manager,5/3/2025,Closed,5/27/2025,POL-256,No,5/8/2025,22735.83,No,Not Needed,No,,10/30/2025,2025-08-18T21:30:25.423117
Incidents_2025_H1,RCIT-2025-0024,2/23/2025,Doctor,ED,Joint Commission,Data breach,Low,Incident related to OSHA in ED,Training gap,Technical fix,Technical fix,Dept Head,4/11/2025,Closed,4/16/2025,POL-335,Yes,,90532.68,No,Not Needed,No,Reviewed in committee meeting.,10/8/2025,2025-08-18T21:30:25.423143
Incidents_2025_H1,RCIT-2025-0025,4/25/2025,Admin Staff,ICU,Title VI,Safety lapse,Low,Incident related to Joint Commission in Administration,Training gap,Technical fix,Policy updated,Legal Counsel,6/10/2025,Closed,6/14/2025,POL-259,Yes,,0,Yes,Not Needed,Yes,Reviewed in committee meeting.,12/7/2025,2025-08-18T21:30:25.423164
Incidents_2025_H1,RCIT-2025-0026,3/12/2025,Nurse,Radiology,CMS,EMTALA violation,Low,Incident related to EMTALA in ICU,System failure,Technical fix,Staff retraining,Legal Counsel,6/5/2025,Closed,6/25/2025,POL-794,No,,0,No,Completed,Yes,Reviewed in committee meeting.,12/2/2025,2025-08-18T21:30:25.423185
Incidents_2025_H1,RCIT-2025-0027,3/17/2025,Nurse,Finance,Title VI,Billing error,High,Incident related to Title VI in ICU,Staff non-adherence,Policy updated,Staff retraining,Legal Counsel,5/23/2025,Open,,POL-274,No,,23714.4,Yes,Completed,No,,11/19/2025,2025-08-18T21:30:25.423207
Incidents_2025_H1,RCIT-2025-0028,5/25/2025,Doctor,Radiology,Title VI,Safety lapse,High,Incident related to HIPAA in Radiology,System failure,Staff retraining,Staff retraining,Dept Head,7/15/2025,Closed,7/17/2025,POL-619,Yes,,41557.66,No,Not Needed,No,,1/11/2026,2025-08-18T21:30:25.423229
Incidents_2025_H1,RCIT-2025-0029,3/31/2025,Compliance Officer,Administration,OSHA,Billing error,Moderate,Incident related to EMTALA in Finance,System failure,Technical fix,Staff retraining,Legal Counsel,5/27/2025,Closed,6/7/2025,POL-699,Yes,,7209.88,No,Completed,No,,11/23/2025,2025-08-18T21:30:25.423252
Incidents_2025_H1,RCIT-2025-0030,5/20/2025,Nurse,ED,Joint Commission,Data breach,Critical,Incident related to Title VI in ICU,Documentation error,Technical fix,Staff retraining,Compliance Officer,7/28/2025,Open,,POL-201,Yes,,27284.64,No,Not Needed,No,,1/24/2026,2025-08-18T21:30:25.423273
Incidents_2025_H1,RCIT-2025-0031,4/27/2025,Doctor,Finance,Title VI,Data breach,High,Incident related to Title VI in Administration,Staff non-adherence,Technical fix,Immediate mitigation,Risk Manager,6/12/2025,Open,,POL-779,No,,0,Yes,Pending,Yes,Reviewed in committee meeting.,12/9/2025,2025-08-18T21:30:25.423294
Incidents_2025_H1,RCIT-2025-0032,1/16/2025,Doctor,Finance,Title VI,EMTALA violation,High,Incident related to Joint Commission in Med-Surg,Training gap,Policy updated,Staff retraining,Dept Head,2/7/2025,Closed,2/8/2025,POL-545,Yes,,0,Yes,Completed,Yes,Reviewed in committee meeting.,8/6/2025,2025-08-18T21:30:25.423318
Incidents_2025_H1,RCIT-2025-0033,4/2/2025,Admin Staff,Finance,HIPAA,Data breach,Critical,Incident related to OSHA in ED,Documentation error,Immediate mitigation,Technical fix,Dept Head,6/6/2025,Closed,6/11/2025,POL-314,No,6/11/2025,0,No,Not Needed,Yes,,12/3/2025,2025-08-18T21:30:25.423342
Incidents_2025_H1,RCIT-2025-0034,6/3/2025,Compliance Officer,Med-Surg,OSHA,Safety lapse,Critical,Incident related to Title VI in ICU,System failure,Technical fix,Policy updated,Legal Counsel,8/5/2025,Closed,8/17/2025,POL-759,No,,83105.42,Yes,Not Needed,No,Reviewed in committee meeting.,2/1/2026,2025-08-18T21:30:25.423370
Incidents_2025_H1,RCIT-2025-0035,6/29/2025,Admin Staff,ICU,HIPAA,Billing error,High,Incident related to CMS in Administration,System failure,Immediate mitigation,Staff retraining,Legal Counsel,8/28/2025,In-Progress,,POL-425,No,,13631.15,Yes,Not Needed,No,,2/24/2026,2025-08-18T21:30:25.423406
Incidents_2025_H1,RCIT-2025-0036,5/18/2025,Admin Staff,Finance,Joint Commission,Billing error,High,Incident related to OSHA in ICU,Training gap,Policy updated,Policy updated,Legal Counsel,6/29/2025,Closed,7/5/2025,POL-271,No,7/4/2025,0,Yes,Completed,Yes,,12/26/2025,2025-08-18T21:30:25.423431
Incidents_2025_H1,RCIT-2025-0037,6/15/2025,Doctor,Finance,OSHA,Privacy issue,Moderate,Incident related to Title VI in Med-Surg,System failure,Staff retraining,Policy updated,Compliance Officer,7/9/2025,Open,,POL-479,Yes,,0,No,Not Needed,Yes,Reviewed in committee meeting.,1/5/2026,2025-08-18T21:30:25.423452
Incidents_2025_H1,RCIT-2025-0038,1/10/2025,Doctor,Med-Surg,HIPAA,Safety lapse,High,Incident related to Title VI in Radiology,Documentation error,Policy updated,Immediate mitigation,Risk Manager,2/7/2025,Open,,POL-587,No,,30831.42,No,Pending,Yes,,8/6/2025,2025-08-18T21:30:25.423474
Incidents_2025_H1,RCIT-2025-0039,2/5/2025,Nurse,Radiology,Joint Commission,Data breach,Critical,Incident related to CMS in ED,Documentation error,Staff retraining,Policy updated,Dept Head,4/4/2025,Closed,4/15/2025,POL-264,No,,0,No,Pending,No,Reviewed in committee meeting.,10/1/2025,2025-08-18T21:30:25.423495
Incidents_2025_H1,RCIT-2025-0040,1/18/2025,Nurse,Med-Surg,Joint Commission,Data breach,High,Incident related to HIPAA in Administration,System failure,Technical fix,Staff retraining,Legal Counsel,3/19/2025,Closed,3/23/2025,POL-823,Yes,,0,Yes,Pending,Yes,Reviewed in committee meeting.,9/15/2025,2025-08-18T21:30:25.423519
Incidents_2025_H1,RCIT-2025-0041,6/6/2025,Nurse,Radiology,CMS,Privacy issue,Critical,Incident related to OSHA in Administration,Training gap,Staff retraining,Staff retraining,Compliance Officer,8/20/2025,Closed,9/19/2025,POL-734,No,,0,Yes,Completed,No,Reviewed in committee meeting.,2/16/2026,2025-08-18T21:30:25.423541
Incidents_2025_H1,RCIT-2025-0042,4/26/2025,Nurse,Radiology,EMTALA,Privacy issue,High,Incident related to HIPAA in Med-Surg,Staff non-adherence,Immediate mitigation,Immediate mitigation,Compliance Officer,7/19/2025,Closed,8/7/2025,POL-358,No,,38560.05,No,Completed,Yes,Reviewed in committee meeting.,1/15/2026,2025-08-18T21:30:25.423563
Incidents_2025_H1,RCIT-2025-0043,5/29/2025,Nurse,Radiology,OSHA,Privacy issue,Moderate,Incident related to OSHA in Radiology,Staff non-adherence,Policy updated,Technical fix,Dept Head,7/5/2025,Closed,7/23/2025,POL-231,No,,57507.29,Yes,Pending,Yes,Reviewed in committee meeting.,1/1/2026,2025-08-18T21:30:25.423585
Incidents_2025_H1,RCIT-2025-0044,6/21/2025,Nurse,Med-Surg,CMS,Privacy issue,Critical,Incident related to HIPAA in Administration,Documentation error,Technical fix,Technical fix,Legal Counsel,7/8/2025,Closed,7/27/2025,POL-676,No,,88369.1,No,Not Needed,Yes,,1/4/2026,2025-08-18T21:30:25.423618
Incidents_2025_H1,RCIT-2025-0045,3/16/2025,Doctor,Med-Surg,Joint Commission,Data breach,Critical,Incident related to CMS in ED,Documentation error,Staff retraining,Staff retraining,Legal Counsel,4/1/2025,Closed,4/29/2025,POL-812,No,,0,Yes,Completed,No,Reviewed in committee meeting.,9/28/2025,2025-08-18T21:30:25.423640
Incidents_2025_H1,RCIT-2025-0046,1/23/2025,Doctor,Finance,EMTALA,EMTALA violation,High,Incident related to Joint Commission in ICU,Training gap,Technical fix,Staff retraining,Legal Counsel,2/20/2025,Closed,2/20/2025,POL-744,No,,0,Yes,Completed,Yes,,8/19/2025,2025-08-18T21:30:25.423661
Incidents_2025_H1,RCIT-2025-0047,1/21/2025,Compliance Officer,Finance,Title VI,Data breach,High,Incident related to Title VI in Finance,Training gap,Technical fix,Staff retraining,Risk Manager,4/18/2025,Closed,4/20/2025,POL-924,Yes,,0,No,Completed,Yes,,10/15/2025,2025-08-18T21:30:25.423682
Incidents_2025_H1,RCIT-2025-0048,6/9/2025,Nurse,Administration,Joint Commission,Safety lapse,Low,Incident related to Joint Commission in Radiology,System failure,Staff retraining,Policy updated,Dept Head,7/1/2025,Closed,7/27/2025,POL-794,Yes,7/6/2025,24080,No,Not Needed,Yes,,12/28/2025,2025-08-18T21:30:25.423707
Incidents_2025_H1,RCIT-2025-0049,6/10/2025,Nurse,Radiology,Joint Commission,Privacy issue,High,Incident related to CMS in ICU,Staff non-adherence,Policy updated,Policy updated,Legal Counsel,8/25/2025,Open,,POL-773,Yes,,0,Yes,Not Needed,No,Reviewed in committee meeting.,2/21/2026,2025-08-18T21:30:25.423727
Incidents_2025_H1,RCIT-2025-0050,6/1/2025,Admin Staff,Finance,OSHA,Data breach,Critical,Incident related to Title VI in ED,Documentation error,Policy updated,Staff retraining,Dept Head,6/19/2025,Closed,6/26/2025,POL-450,No,,0,Yes,Completed,No,,12/16/2025,2025-08-18T21:30:25.423754
Incidents_2025_H1,RCIT-2025-0051,1/15/2025,Nurse,Med-Surg,Title VI,Safety lapse,Low,Incident related to Title VI in Administration,System failure,Immediate mitigation,Technical fix,Legal Counsel,2/7/2025,Closed,2/17/2025,POL-834,Yes,,0,No,Not Needed,No,Reviewed in committee meeting.,8/6/2025,2025-08-18T21:30:25.423776
Incidents_2025_H1,RCIT-2025-0052,2/16/2025,Nurse,ICU,EMTALA,Privacy issue,Critical,Incident related to Joint Commission in ED,System failure,Immediate mitigation,Policy updated,Compliance Officer,4/12/2025,Open,,POL-615,No,4/17/2025,60816.97,Yes,Completed,No,Reviewed in committee meeting.,10/9/2025,2025-08-18T21:30:25.423809
Incidents_2025_H1,RCIT-2025-0053,2/21/2025,Doctor,Radiology,Title VI,EMTALA violation,Critical,Incident related to CMS in Finance,System failure,Technical fix,Staff retraining,Risk Manager,4/13/2025,Open,,POL-121,No,4/18/2025,0,Yes,Pending,No,Reviewed in committee meeting.,10/10/2025,2025-08-18T21:30:25.423833
Incidents_2025_H1,RCIT-2025-0054,1/28/2025,Nurse,Finance,Joint Commission,Privacy issue,Low,Incident related to Joint Commission in ICU,System failure,Immediate mitigation,Immediate mitigation,Compliance Officer,4/6/2025,Open,,POL-723,Yes,,40387.46,Yes,Completed,No,,10/3/2025,2025-08-18T21:30:25.423854
Incidents_2025_H1,RCIT-2025-0055,3/30/2025,Compliance Officer,ICU,HIPAA,Safety lapse,Critical,Incident related to HIPAA in ICU,Training gap,Staff retraining,Technical fix,Dept Head,5/2/2025,Closed,5/29/2025,POL-490,Yes,5/7/2025,23866.29,No,Not Needed,No,,10/29/2025,2025-08-18T21:30:25.423878
Incidents_2025_H1,RCIT-2025-0056,6/12/2025,Nurse,ED,CMS,Privacy issue,Low,Incident related to HIPAA in Med-Surg,Staff non-adherence,Immediate mitigation,Staff retraining,Legal Counsel,8/1/2025,Closed,8/29/2025,POL-340,Yes,,0,Yes,Not Needed,No,Reviewed in committee meeting.,1/28/2026,2025-08-18T21:30:25.423900
Incidents_2025_H1,RCIT-2025-0057,3/10/2025,Compliance Officer,Med-Surg,Joint Commission,Privacy issue,Critical,Incident related to Title VI in Finance,Training gap,Policy updated,Policy updated,Compliance Officer,6/7/2025,In-Progress,,POL-173,No,,44717.24,Yes,Pending,No,Reviewed in committee meeting.,12/4/2025,2025-08-18T21:30:25.423921
Incidents_2025_H1,RCIT-2025-0058,2/7/2025,Compliance Officer,ED,CMS,Data breach,Critical,Incident related to Title VI in Radiology,Training gap,Technical fix,Policy updated,Legal Counsel,2/26/2025,Closed,3/7/2025,POL-651,No,,0,Yes,Not Needed,No,,8/25/2025,2025-08-18T21:30:25.423942
Incidents_2025_H1,RCIT-2025-0059,5/2/2025,Nurse,Med-Surg,Title VI,Safety lapse,High,Incident related to HIPAA in Finance,Staff non-adherence,Immediate mitigation,Policy updated,Risk Manager,7/30/2025,Closed,7/31/2025,POL-991,No,,34538.47,No,Pending,Yes,Reviewed in committee meeting.,1/26/2026,2025-08-18T21:30:25.423964
Incidents_2025_H1,RCIT-2025-0060,6/20/2025,Doctor,ED,EMTALA,Safety lapse,Moderate,Incident related to CMS in Radiology,System failure,Technical fix,Technical fix,Dept Head,9/6/2025,Closed,9/26/2025,POL-898,No,,97941.28,No,Completed,Yes,Reviewed in committee meeting.,3/5/2026,2025-08-18T21:30:25.423987
Incidents_2025_H1,RCIT-2025-0061,2/4/2025,Compliance Officer,ICU,OSHA,Safety lapse,High,Incident related to Title VI in Med-Surg,Staff non-adherence,Staff retraining,Policy updated,Dept Head,3/21/2025,Closed,4/15/2025,POL-403,No,,0,Yes,Pending,Yes,Reviewed in committee meeting.,9/17/2025,2025-08-18T21:30:25.424009
Incidents_2025_H1,RCIT-2025-0062,3/5/2025,Compliance Officer,ED,OSHA,Safety lapse,High,Incident related to HIPAA in Med-Surg,Staff non-adherence,Technical fix,Immediate mitigation,Risk Manager,3/17/2025,Escalated,3/23/2025,POL-445,No,,0,No,Pending,No,Reviewed in committee meeting.,9/13/2025,2025-08-18T21:30:25.424036
Incidents_2025_H1,RCIT-2025-0063,6/3/2025,Doctor,Med-Surg,Joint Commission,EMTALA violation,Moderate,Incident related to Joint Commission in ED,Staff non-adherence,Immediate mitigation,Policy updated,Dept Head,7/1/2025,Closed,7/5/2025,POL-778,No,,0,No,Not Needed,No,Reviewed in committee meeting.,12/28/2025,2025-08-18T21:30:25.424058
Incidents_2025_H1,RCIT-2025-0064,4/2/2025,Admin Staff,ED,OSHA,Safety lapse,Moderate,Incident related to EMTALA in Finance,Staff non-adherence,Staff retraining,Staff retraining,Legal Counsel,6/19/2025,Closed,6/27/2025,POL-968,No,,1744.03,No,Not Needed,No,,12/16/2025,2025-08-18T21:30:25.424080
Incidents_2025_H1,RCIT-2025-0065,3/5/2025,Compliance Officer,Med-Surg,Title VI,Privacy issue,Moderate,Incident related to HIPAA in Radiology,Documentation error,Immediate mitigation,Policy updated,Compliance Officer,5/28/2025,Open,,POL-375,No,,0,Yes,Completed,No,,11/24/2025,2025-08-18T21:30:25.424100
Incidents_2025_H1,RCIT-2025-0066,2/13/2025,Admin Staff,Med-Surg,Joint Commission,Data breach,Moderate,Incident related to HIPAA in Radiology,System failure,Immediate mitigation,Immediate mitigation,Compliance Officer,3/2/2025,Closed,3/14/2025,POL-563,No,,78952.67,Yes,Pending,No,,8/29/2025,2025-08-18T21:30:25.424123
Incidents_2025_H1,RCIT-2025-0067,1/20/2025,Doctor,ED,EMTALA,Privacy issue,Low,Incident related to OSHA in ED,Staff non-adherence,Technical fix,Technical fix,Dept Head,2/2/2025,Closed,2/19/2025,POL-128,No,,96760.65,Yes,Not Needed,Yes,Reviewed in committee meeting.,8/1/2025,2025-08-18T21:30:25.424164
Incidents_2025_H1,RCIT-2025-0068,5/6/2025,Compliance Officer,ICU,OSHA,Safety lapse,Low,Incident related to EMTALA in Finance,Documentation error,Staff retraining,Technical fix,Dept Head,6/28/2025,Closed,7/14/2025,POL-776,Yes,7/3/2025,93148.89,Yes,Completed,No,,12/25/2025,2025-08-18T21:30:25.424191
Incidents_2025_H1,RCIT-2025-0069,4/26/2025,Compliance Officer,ICU,OSHA,Privacy issue,High,Incident related to Title VI in Radiology,Staff non-adherence,Technical fix,Policy updated,Compliance Officer,6/23/2025,Closed,7/2/2025,POL-638,No,,0,Yes,Not Needed,No,Reviewed in committee meeting.,12/20/2025,2025-08-18T21:30:25.424212
Incidents_2025_H1,RCIT-2025-0070,2/1/2025,Doctor,ICU,OSHA,Safety lapse,Critical,Incident related to Joint Commission in Finance,Staff non-adherence,Policy updated,Policy updated,Legal Counsel,3/30/2025,Closed,4/13/2025,POL-455,No,,0,Yes,Pending,No,,9/26/2025,2025-08-18T21:30:25.424233
Incidents_2025_H1,RCIT-2025-0071,6/15/2025,Admin Staff,Finance,OSHA,Billing error,Low,Incident related to OSHA in Administration,Documentation error,Immediate mitigation,Policy updated,Legal Counsel,7/17/2025,Closed,7/17/2025,POL-769,Yes,,11811.48,No,Not Needed,Yes,,1/13/2026,2025-08-18T21:30:25.424259
Incidents_2025_H1,RCIT-2025-0072,3/9/2025,Admin Staff,Finance,Title VI,Data breach,Moderate,Incident related to HIPAA in Finance,System failure,Technical fix,Policy updated,Compliance Officer,4/23/2025,Closed,5/20/2025,POL-481,No,,0,Yes,Pending,No,Reviewed in committee meeting.,10/20/2025,2025-08-18T21:30:25.424282
Incidents_2025_H1,RCIT-2025-0073,6/27/2025,Doctor,ED,Joint Commission,Data breach,High,Incident related to Title VI in ICU,Training gap,Technical fix,Policy updated,Dept Head,9/20/2025,Open,,POL-409,Yes,,0,No,Completed,Yes,Reviewed in committee meeting.,3/19/2026,2025-08-18T21:30:25.424303
Incidents_2025_H1,RCIT-2025-0074,2/6/2025,Admin Staff,Finance,HIPAA,Data breach,Moderate,Incident related to EMTALA in Med-Surg,System failure,Technical fix,Technical fix,Dept Head,5/1/2025,In-Progress,,POL-122,Yes,,36455.14,No,Completed,Yes,Reviewed in committee meeting.,10/28/2025,2025-08-18T21:30:25.424324
Incidents_2025_H1,RCIT-2025-0075,6/12/2025,Compliance Officer,ED,EMTALA,EMTALA violation,Critical,Incident related to EMTALA in ED,Training gap,Staff retraining,Policy updated,Risk Manager,7/13/2025,Open,,POL-814,Yes,,0,No,Pending,No,,1/9/2026,2025-08-18T21:30:25.424343
Incidents_2025_H1,RCIT-2025-0076,1/19/2025,Doctor,Radiology,OSHA,Privacy issue,High,Incident related to CMS in Administration,Training gap,Staff retraining,Immediate mitigation,Risk Manager,2/26/2025,Closed,3/17/2025,POL-204,Yes,3/3/2025,70645.38,Yes,Completed,Yes,Reviewed in committee meeting.,8/25/2025,2025-08-18T21:30:25.424367
Incidents_2025_H1,RCIT-2025-0077,4/20/2025,Admin Staff,ICU,Joint Commission,Safety lapse,Low,Incident related to OSHA in Administration,System failure,Policy updated,Immediate mitigation,Dept Head,6/21/2025,Closed,6/29/2025,POL-809,No,,0,Yes,Pending,No,Reviewed in committee meeting.,12/18/2025,2025-08-18T21:30:25.424392
Incidents_2025_H1,RCIT-2025-0078,5/22/2025,Nurse,Radiology,CMS,Safety lapse,High,Incident related to Title VI in Administration,System failure,Technical fix,Immediate mitigation,Compliance Officer,8/1/2025,In-Progress,,POL-383,No,8/6/2025,33269.85,No,Pending,Yes,,1/28/2026,2025-08-18T21:30:25.424416
Incidents_2025_H1,RCIT-2025-0079,4/29/2025,Nurse,Med-Surg,Joint Commission,Privacy issue,Moderate,Incident related to OSHA in ED,Staff non-adherence,Staff retraining,Immediate mitigation,Compliance Officer,5/30/2025,In-Progress,,POL-780,No,,63627.38,Yes,Completed,Yes,Reviewed in committee meeting.,11/26/2025,2025-08-18T21:30:25.424438
Incidents_2025_H1,RCIT-2025-0080,3/31/2025,Doctor,ICU,Joint Commission,Data breach,Low,Incident related to Joint Commission in ICU,Staff non-adherence,Policy updated,Immediate mitigation,Legal Counsel,6/20/2025,Open,,POL-280,Yes,,0,Yes,Pending,Yes,Reviewed in committee meeting.,12/17/2025,2025-08-18T21:30:25.424469
